feature,coef,odds_ratio
missingindicator_prev_new_commenter_ratio,-0.022475825815124677,0.9777748738182033
missingindicator_prev_returning_commenter_ratio,-0.022475825815124677,0.9777748738182033
missingindicator_prev_commenter_count,-0.022475825815124677,0.9777748738182033
d_reaction_impressed_pct,0.021473200779626944,1.0217054090620714
d_reaction_cheer_pct,0.006322861040045048,1.006342892522416
d_sent_confusion,-0.0045390169201424135,0.9954712688488471
days_since_prev,-0.004215173584495045,0.9957936977905063
d_sent_churn_index,0.0034236527081784335,1.0034295201011727
pages,-1.3318050510441516e-05,0.9999866820381744
is_adult,0.0,1.0
is_notice,0.0,1.0
is_paywall_boundary,0.0,1.0
